StartTime,EndTime,ID,BackgroundType,EffectType
6678,28095,0,BW,FADE_IN
6678,28095,0,BW,SCALE_DOWN
28095,28395,0,BASE,FADE_IN
28095,71678,0,BASE,TOP
71678,72000,0,BASE,FADE_OUT
81345,81645,0,BASE,FADE_IN
81345,92011,0,BASE,LEFT
92011,102678,0,BASE,FADE_OUT
92011,102678,1,BASE,FADE_IN
